Iteration,QD-Score,Coverage,Maximum,Average
171,863744.867686121,0.01906,6854.8231200850805,453.1714940640719
172,886795.9194876109,0.0196,6854.8231200850805,452.4468976977607
173,903019.8907560024,0.02031,6854.8231200850805,444.618360785821
174,926087.9947141614,0.02116,6854.8231200850805,437.6597328516831
175,946000.6001333825,0.02161,6854.8231200850805,437.7605738701446
176,963461.101576083,0.02191,6854.8231200850805,439.73578346694796
177,992484.1221469109,0.02233,6854.8231200850805,444.462213231935
178,1015742.0384290401,0.02281,6854.8231200850805,445.30558458090314
179,1039896.3126122359,0.02419,6854.8231200850805,429.88685928575273
180,1058088.8200839802,0.02544,6854.8231200850805,415.91541669967773
181,1078026.577398077,0.02698,6854.8231200850805,399.5650768710441
182,1084618.169798839,0.02851,6854.8231200850805,380.4342931598874
183,1095815.350598889,0.02953,6854.8231200850805,371.08545567182153
184,1099886.602608732,0.03148,6854.8231200850805,349.39218634330746
185,1104262.019997114,0.0333,6854.8231200850805,331.61021621534957
186,1110676.3617508395,0.03438,6854.8231200850805,323.0588603114716
187,1116806.8115364867,0.03526,6854.8231200850805,316.73477354976933
188,1131250.491485807,0.0367,6854.8231200850805,308.2426407318276
189,1139915.1568320557,0.03775,6854.8231200850805,301.9642799555114
190,1139798.189038007,0.0385,6854.8231200850805,296.0514776722096
191,1145915.561466017,0.03951,6854.8231200850805,290.03177966743027
192,1151920.5243240264,0.0402,6854.8231200850805,286.5473941104543
193,1154019.3141056783,0.04077,6854.8231200850805,283.0560005164774
194,1159812.9104762448,0.04192,6854.8231200850805,276.6729271174248
195,1160631.4694099324,0.04307,6854.8231200850805,269.47561397955246
196,1163968.8762921796,0.04419,6854.8231200850805,263.40096770585643
197,1163875.427811687,0.04447,6854.8231200850805,261.72148140582124
198,1170928.2100292,0.04502,6854.8231200850805,260.090673040693
199,1172161.0474785974,0.0455,6854.8231200850805,257.61781263265874
200,1177278.93987128,0.04629,6854.8231200850805,254.32683946236335
201,1181074.9744064615,0.0471,6854.8231200850805,250.75901792069246
202,1186566.06131519,0.04781,6854.8231200850805,248.18365641396989
203,1189886.4776064588,0.04843,6854.8231200850805,245.69202510973753
204,1194046.177837793,0.0491,6854.8231200850805,243.18659426431628
205,1200188.2206562897,0.04991,6854.8231200850805,240.4704910150851
206,1213832.6814579098,0.05115,6854.8231200850805,237.3084421227585
207,1216745.025414662,0.05154,6854.8231200850805,236.0778085787082
208,1219637.784214953,0.05195,6854.8231200850805,234.771469531271
209,1220321.2700701628,0.05217,6854.8231200850805,233.91245353079603
210,1221465.9876241304,0.05284,6854.8231200850805,231.16313164726162
211,1223225.5441916499,0.05356,6854.8231200850805,228.3841568692401
212,1238285.033034929,0.05469,6854.8231200850805,226.41891260466795
213,1237792.9338026182,0.05537,6854.8231200850805,223.54938302377067
214,1239854.8734955848,0.05576,6854.8231200850805,222.35560858959556
215,1239385.3806298992,0.05605,6854.8231200850805,221.1213881587688
216,1243241.5758024198,0.05624,6854.8231200850805,221.0600241469452
217,1246154.8013176525,0.05662,6854.8231200850805,220.09092216843032
218,1251106.7640805382,0.0569,6854.8231200850805,219.878165919251
219,1255554.242394234,0.05721,6854.8231200850805,219.46412207555218
220,1256755.9572162444,0.05767,6854.8231200850805,217.92196240961408
221,1260145.051803774,0.05777,6854.8231200850805,218.13139203804292
222,1262231.8834178278,0.0579,6854.8231200850805,218.0020524037699
223,1273445.8569100357,0.05834,6854.8231200850805,218.28005774940618
224,1276404.3751667,0.05853,6854.8231200850805,218.07694774759952
225,1280370.665930453,0.05915,6854.8231200850805,216.46165104487793
226,1289804.6906632776,0.05998,6854.8231200850805,215.03912815326402
227,1296284.4031827014,0.06041,6854.8231200850805,214.58109637190887
228,1300893.1088854547,0.06064,6854.8231200850805,214.52722771857762
229,1323639.3923450906,0.06172,6854.8231200850805,214.45874794962583
230,1328124.924558312,0.06226,6854.8231200850805,213.319133401592
231,1332533.4714603424,0.06289,6854.8231200850805,211.88320423920217
232,1333551.1339800218,0.06302,6854.8231200850805,211.6076061536055
